Pharmacy Name,Pharmacy_url,Street Address,City,State,State_ab,Zip Code,Phone,Conditions Served,Pharmacy Contact,Contact Email,Accreditation,Company Type,Ownership,Patient Services,Payer Services,Pharmaceutical Services,Pharmacy Locations,Limited Distribution Drugs,
Mercy Health Pharmacy Hackley,http://www.mercy-healthpartners.org/hackley-pharmacy,1675 Leahy Street #11,Muskegon,Michigan,MI,49442,231-672-7822,"Hepatitis, HIV",Scott Butler,,,Subsidiary,Mercy Health,Counseling and education,Medication therapy management,,,,
Mercy Specialty Pharmacy-St. Louis,https://www.mercy.net/practice/mercy-specialty-pharmacy-st-louis,607 S. New Ballas Road,St. Louis,Missouri,MO,63141,314-251-5478,"Hematology, Oncology",Jonathan Lakamp,,,Subsidiary,Mercy Health,"Counseling and education, Insurance and financial assistance, Delivery",,Manufacturers’ co-pay cards,,,
Metro CARE Pharmacy,https://carepharmacies.com/blog/location/metro-care-pharmacy/,6323 Georgia Ave NW,Washington,District of Columbia,DC,20011,202-722-0171,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",Sanjeev Bhalla,,,Member,CARE Pharmacies,Counseling and education,,,,,
Metro Drugs,http://www.metrodrugs.com,931 Lexington Ave,New York,New York,NY,10065,212-794-7200,Fertility,Joe Tawil,,URAC,Private,Independent,"24/7 support, Mail delivery",,,,,
MetroHealth Specialty Pharmacy,https://www.metrohealth.org/specialty-pharmacy,9885 Rockside Road,Valley View,Ohio,OH,44125,216-957-6337,"Hepatitis C, HIV",Jay Kuhn,,,Subsidiary,The MetroHealth System,,,,,,
MetroRx Specialty Pharmacy,http://metrorxsp.com/,1976 2nd Avenue,New York,New York,NY,10029,212-831-1222,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",Ali Mohammed,,,Private,Independent,,,,,,
Miller Drug LLC,https://www.millerdrug.com/,210 State Street,Bangor ,Maine,ME,04401,207-947-8369,"Asthma, Bleeding Disorders, Crohn's Disease, Cystic Fibrosis, Growth Hormone, Hepatitis, Immunology, Multiple Sclerosis, Oncology, Psoriasis, PAH, Respiratory Disorders, Rheumatoid Arthritis, Transplantation",,,,Private,Independent,"Counseling and education, Delivery, Refills, 24x7 clinical support, Financial assistance investigation","Prior authorization, Medication adherence","Medication appropriateness, Compliance and adherence",,,
Minnesota Oncology,www.mnoncology.com,"2550 University Avenue West, Suite 110-N",St. Paul,Minnesota,MN,55114,651-602-5335,Oncology,Jan Merriman,,,Private,Independent,,,,,,
Mississippi Center for Advanced Medicine,,,,,,,,,,,,,,,,,,Hemlimbra,
MMS Solutions ,http://www.mmspharmacy.com,202 Cumberland Bend ,Nashville,Tennessee,TN,37228,866-716-5486,"Renal disease, Oncology",Tom Hermann,,,Subsidiary,Cardinal Health,"Patient education, Adherence programs, Refill reminders and shipping, Insurance assistance",Benefits coordination,,,,
ModernHEALTH Specialty Pharmacy,http://www.modernhealthinc.com ,110 E Huntington Drive,Monrovia,California,CA,91016,626-932-1600 ,"IVIG, HIV, Cystic Fibrosis, Transplantation, Hepatitis C, Rheumatoid Arthritis, Dermatology",Richard Nguyen,,,Subsidiary,Kroger,,,,,,
Moffit Cancer Center Pharmacy,https://moffitt.org/tests-treatments/treatments/pharmacy/,12902 USF Magnolia Drive #1170,Tampa,Florida,FL,33612,813-745-8484,"Oncology, Hematology",Dave Craig,,,Subsidiary,Moffit Cancer Center,,,,,,
Morgan CARE Pharmacy,http://www.morgancare.com/,"3001 P Street, N.W.",Washington,District of Columbia,DC,20007,202-337-4100,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",Michael Wysong,,,Member,CARE Pharmacies,Counseling and education,,,,,
Morningstar Specialty Pharmacy,,833 Kennedy St NW,Washington,District of Columbia,DC,20011,202-525-3900,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",,,,Member,CARE Pharmacies,Counseling and education,,,,,
Mount Pleasant CARE Pharmacy,https://carepharmacies.com/blog/location/mount-pleasant-care-pharmacy/,3169 Mt Pleasant St NW,Washington,District of Columbia,DC,20010,202-387-3100,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",,,,Member,CARE Pharmacies,Counseling and education,,,,,
Nalle Pharmacy,http://www.nallepharmacy.biz,1918 Randolph Road,Charlotte,North Carolina,NC,28207,704-342-8180,Fertility,Tommy Dagemhart,,,Private,Independent,Counseling and education,,,,,
Nebraska Medicine Durham Outpatient Center,https://www.nebraskamed.com/pharmacy,4400 Emile Street,Omaha,Nebraska,NE,68105,402-559-4000,"Crohn's Disease, Psoriasis, Rheumatoid arthritis, Psoriatic Arthritis, Oncology, Growth Hormone, Hemophilia, Hepatitis C, HIV, Fertility, Multiple Sclerosis, Neurology, Transplantation",Gale Dunahoo,,URAC,Subsidiary,Nebraska Medicine,"Counseling and education, Financial assistance help, Delivery",Prior authorization,,,,
New England Cancer Specialists,www.newenglandcancerspecialists.org,"100 Campus Drive, Suite 108",Scarborough,Maine,ME,04074,207-396-7600,Oncology,Eric Dallara ,,,Private,Independent,,,,,,
New Era Care Pharmacy,https://carepharmacies.com/blog/location/new-era-care-pharmacy/,1436 Addison Rd S,Capitol Heights,Maryland,MD,20743,301-808-4361,"HIV, Hepatitis C, Oncology, Fertility, Multiple Sclerosis, Diabetes, Renal disease, Rheumatoid arthritis",Delina Nwachukwu,,,Member,CARE Pharmacies,Counseling and education,,,,,
New Hampshire CARE Pharmacy,http://www.nhmedsupply.com/,"5001 New Hampshire Ave NW, ",Washington,District of Columbia,DC,20011,202-726-3100,"HIV, Oncology, Pain Management, Transplantation",Frank Cassidy,,,Member,CARE Pharmacies,"Counseling and education, Delivery","Billing assistance, Compliance reports",,,,
New Hampshire Oncology-Hematology PA,http://www.nhoh.com,200 Technology Drive,Hooksett,New Hampshire,NH,03106,603-622-6484,Oncology,A. Collier Smyth ,,,Private,Independent,,,,,,
New London Specialty Pharmacy,http://www.newlondonspecialtypharmacy.com/,"246 8th Avenue, 2nd floor suite A",New York,New York,NY,10011,212-414-9755,"Transplantation, HIV/AIDS, Hepatitis C, Rheumatoid Arthritis, Oncology, Multiple Sclerosis, Psoriasis",John Fazio,,"URAC, ACHC",Private,Independent,Financial assistance,"Compliance management, Centralized technology, Authorization process, Dispensing support","Assistance with patient compliance, interactions and product utilization",,,
New York Oncology Hematology,www.newyorkoncology.com,"400 Patroon Creek Blvd., Suite 1",Albany,New York,NY,12206,518-489-0044,Oncology,Nancy Egerton ,,,Private,Independent,,,,,,
Noble Health Associates LLC,http://www.kinneydrugs.com,520 East Main Street,Gouverneur,New York,NY,13642,315-287-3600 ,"Asthma, Bleeding Disorders, Oncology, Cystic Fibrosis, Growth Hormone, Hepatitis, Hereditary Angioedema, HIV, Fertility, IBD, Multiple Sclerosis, Transplantation, Psoriasis, Rheumatoid Arthritis",Steve McCoy,,"URAC, ACHC",Subsidiary,KPH Healthcare Services,"Care teams, Clinical management programs, Benefits and co-pay assistance, Delivery and refills","Prior authorization, Customized clinical pathways, Customized reporting"," Customized reporting, Training/Advocacy Room, Education materials to support therapeutic initiatives, Delivery",,Hemlimbra,
North Mississippi Medical Center Specialty Pharmacy,http://www.nmhs.net/outpatient_infusion.php,"990 S. Madison St., Suite 2",Tupelo,Mississippi,MS,38801,662-377-4919,"Hematology, Oncology, IVIG",Wes Pitts,,,Subsidiary,North Mississippi Medical Center,,,,,,
Northgate Pharmacy,https://carepharmacies.com/blog/location/northgate-care-pharmacy/,3973 St. Charles Parkway,Waldorf,Maryland,MD,20602,301-932-7977,"HIV, Oncology, Pain Management, Transplantation",Vincent Ippolito,,,Member,CARE Pharmacies,"Counseling and education, Delivery",,,,,
Northwestern Medicine Specialty Pharmacy,https://www.nm.org,251 East Huron Street,Chicago,Illinois,IL,60611,312-926-2000,"HIV, Oncology, Transplantation",John Keller,,,Subsidiary,Northwestern Memorial Hospital,"Patient education, Benefits investigation, Financial assistance",,,,,
Norton Women's & Children's Hospital,https://nortonhealthcare.com/pages/nhc-pharmacy.aspx,4001 Dutchmans Lane,Louisville,Kentucky,KY,40207,502-559-1310,"Oncology, Crohn's Disease, Cystic Fibrosis, Hemophilia, Hepatitis, HIV, Multiple Sclerosis, Psoriasis, Rheumatoid arthritis, Ulcerative colitis",William Allen,,URAC,Subsidiary,Norton Healthcare,Counseling and education,,,,,
Novant Health Pharmacy Services,http://www.novanthealth.org,2085 Frontis Plaza Blvd.,Winston-Salem,North Carolina,NC,27103,336-718-5600,"Dermatology, Gastroenterology, Oncology, Pain Management, Rheumatoid Arthritis",Andrew Wright,,URAC,Subsidiary,Novant Health,"Counseling and education, Disease state management",,,"Winston-Salem, NC",,
NPS Pharmacy,http://www.pti-nps.com/nps,PO Box 407,Boys Town,Nebraska,NE,68010,402-965-8800,,Kevin Hartman,,"URAC, ACHC",Private,Independent,Delivery,,,"Nashville, TN; Paducah, KY",,
NuFACTOR Specialty Pharmacy,http://www.nufactor.com/,"41093 County Center Drive
Suite B",Temecula,California,CA,92591,"951-296-2516
","IVIG, Hemophilia, von Willebrand disease, Bleeding Disorders, Oncology",Chris Ground,,URAC/JCAHO,Subsidiary,FFF Enterprises,"Reimbursement support, Infusion specialists, On-call pharmacists","Validation of services, Assessment of site-of-care, Condition-specific therapy management, Automation of authorizations, Claim coordination, Reporting and assessment of utilization and outcomes",,,Hemlimbra,
Ocean Breeze Healthcare,http://www.oceanbreezehealthcare.com,"235 Dongan Hills Avenue, Suite 2B",New York,New York,NY,10305,800-219-5920,"Growth Hormone, Fertility, IBD, Osteoporosis, Multiple Sclerosis, Acromegaly",Dominick Spada ,,,Private,Independent,"Counseling and education, 24x7 support, Refills and delivery","Formulary management, MTM, Data Reporting","Patient Assistance Programs, Interim Drug Programs, Reimbursement services and solutions, Data aggregation and analysis",,,
Ochsner Specialty Pharmacy,https://www.ochsner.org/services/specialty-pharmacy,"1405 Jefferson Hwy., Ste. A",New Orleans,Louisiana,LA,70121,855-312-4193,"Oncology, Transplantation, Crohn's Disease, Ulcerative Colitis, Growth Hormone, Hepatitis C, HIV, Multiple Sclerosis, Psoriasis, Rheumatoid Arthritis, Fertility, Anticoagulation, Ankylosing Spondylitis, Neutropenia, Osteoporosis, Parkinson's Disease, Pulmonology",Christi Parson,,URAC,Subsidiary,Ochsner Health System,"Patient Assistance Program, Counseling and education, Clinical pharmacists 24x7, Proactive refills and shipping",,,,,
Ohio State University Outpatient Pharmacy,https://cancer.osu.edu/cancer-specialties/cancer-care-and-treatment/clinical-services/pharmacy,"460 W. 10th Ave., L012",Columbus,Ohio,OH,43210,614-685-1672,"Oncology, Hepatitis C",Robert Weber,,,Subsidiary,The Ohio State University Comprehensive Cancer Center,Counseling and education,,,,,
OHM Pharmacy Services,http://benzerspecialtypharmacy.com/,5980 Breckenridge Hwy,Tampa,Florida,FL,33610,813-304-2221,"Hepatitis C, Multiple Sclerosis, HIV, Rheumatoid Arthritis, Oncology, Psoriasis, Dermatology",Alpesh Patel,,,Subsidiary,Benzer Specialty Pharmacy,,,,,,
Onco360,http://www.onco360.com,"410 Park Avenue, Suite 820",New York,New York,NY,10022,646-356-7700,Oncology,Paul Jardina,,"URAC, ACHC, JCAHO",Private,Independent,"Counseling and education, Financial assistance, Refill reminders, 24/7 support","Total Protocol Management, Patient advocates","Patient assistance program support, Limited distribution drugs, Clinical program support, Reporting capabilities","Louisville, KY; Great Neck, NY; Buffalo, NY; Waltham, MA","Adcetris, Avastin, Bosulif, Cerezyme, Cotellic, Erivedge, Farydak, Gazyva, Herceptin, Hycamtin, Ibrance, Imbruvica, Inlyta, Intron A, Kadcyla, Keytruda, Kisqali, Lonsurf, Mekinist, Mozobil, Nerlynx, Nexavar, Ninlaro, Nplate, Promacta, Revlimid, Rituxan, Soliris, Stivarga, Sutent, Sylatron, Tafinlar, Tarceva, Tecentriq, Thalomid, Tykerb, Vancexta, Votrient, Xalkori, Yervoy, Zaltrap, Zelboraf, Zydelig, Zykadia, Zytiga, VENCLEXTA",
Oncology Consultants,http://www.oncologyconsultants.com,7737 Southwest Fwy #575,Houston,Texas,TX,77074,713-778-0300,Oncology,Yen Nguyen ,,,Private,Independent,,,,,,
Oncology Hematology Care (OHC) Pharmacy,http://www.ohcmail.com,4350 Malsbary Road,Cincinnati,Ohio,OH,45242,513-936-5376,"Oncology, Hematology, Bleeding disorders, Hemophilia",Brian Bourbeau,,,Subsidiary,OHC,"Counseling and assistance, Delivery, Insurance and financial assistance, Co-pay assistance",,,,,
Oncology Pharmacy Group,http://opharmagroup.com/,"4733 W Atlantic Ave, Suite 2",Delray Beach,Florida,FL,33445,855-674-2764,Oncology,Edelmira Lara,,URAC,Private,Independent,,,,,,
Oncology Plus,http://www.oncologyplus.com,1072 E. Brandon Blvd,Brandon,Florida,FL,33511,877-410-0779,Oncology,Zach Scholl,,,Subsidiary,Avella Specialty Pharmacy,,,,,,
OncologyRx Care Advantage ,http://www.mycareadvantage.com,"13501 Park Vista Blvd., Suite 150",Ft. Worth,Texas,TX,76177,888-479-6337,Oncology,,,URAC,Subsidiary,McKesson Specialty Health,"Insurance verification and co-pay assistance, 24x7 pharmacist support",Prior authorization support,Patient assistance programs,,"Jakafi, Ibrance, Inlyta, Xalkori, Bosulif, Sutent, Tarceva, REVLIMID",
OncoSource Rx,http://www.oncosourcerx.com,7172 Columbia Gateway Drive,Columbia,Maryland,MD,21046,410-290-0217,Oncology,,,"URAC, ACHC, JCAHO",Subsidiary,Cardinal Health Specialty Pharmacy,,,,,"Xolair, ColciGel, Tykerb, Votrient, Xalkori, Xtandi, Zelboraf, Intron A, Sylatron, Erividge, Hycamtin, Inylta, Jakafi, Mekinist, Mugard, Pomalyst, Revlimid, Stivargo, Tafinlar, Otezia, Actemra, Otelza, Ibrance, Inlyta, Xalkori, Bosulif, Sutent, Tarceva",
OneSource Home Care,,,,,,,,,,,,,,,,,,Hemlimbra,
OptiMed Specialty Pharmacy,http://www.optimedspecialtyrx.com/,"6480 Technology Avenue, Suite A",Kalamazoo,Michigan,MI,49009,877-385-0535,"Crohn's Disease, Ulcerative Colitis, Hepatitis C, Immunology, Psoriasis, Rheumatoid Arthritis",Andrew Reeves,,"URAC, ACHC, JCAHO",Private,Independent,"Financial Support & Advocacy Services, Refill Reminders, Shipping, Delivery","Customizable Patient-Centric Management Programs, Prior Authorizations",Medication & Disease Education and Training,,Cosentyx,
Option Care Enterprises,http://optioncare.com/,"485 Half Day Road, Suite 300",Buffalo Grove,Illinois,IL,60089,866-827-8203,"Growth Hormone, RSV, Hepatitis C, Multiple Sclerosis, Hemophilia, Immunology, Oncology",Paul Mastrapa,,"URAC, ACHC",Subsidiary,Walgreens,Counseling and education,Clinical monitoring and reporting,,"Los Angeles, CA; Panama City, FL","Radicava, Cuvitru, Coagadex, Hemlimbra",
Oregon Health & Science University Specialty Pharmacy,http://www.ohsu.edu/xd/health/services/pharmacy,3181 S.W. Sam Jackson Park Rd.,Portland,Oregon,OR,97239,866-263-5580,"Fertility, Oncology, Cystic Fibrosis, Hepatitis C, HIV, Multiple Sclerosis, Psoriatic Arthritis, Rheumatoid Arthritis, Spondyloarthritis",Amy Szczulowski,,URAC,Subsidiary,Oregon Health & Science University,"Refill reminders, Home delivery, 24x7 pharmacist, Insurance benefit review, Prior authorization, Financial assistance",,,,,
Orsini Healthcare,http://www.orsinihealthcare.com,1111 Nicholas Boulevard,Elk Grove Village,Illinois,IL,60007,800-672-0869,"Renal disease, Crohn's disease, Cystic fibrosis, Enzyme Replacement therapy, HAE, Hemophilia, Hepatitis, HIV, Fertility, IVIG, Multiple Sclerosis, Oncology, Psoriasis, RSV, Rheumatoid arthritis, Transplantation",Tony Orsini,,"URAC, JCAHO",Private,Independent,"Insurance assistance, 24/7 support, Delivery",,"Customized packaging programs, Targeted pilot programs, Product launch support and pull through, Drug trial assistance, Full reporting capabilities",,,
Oso Home Care,http://osohomecare.com/,17175 Gillette Ave,Irvine,California,CA,92614,949-660-7126,"IVIG, Factor Therapy, Infusion, Transplantation",Randy Bohart,,ACHC,Private,Independent,,,,,Hemlimbra,
Owl Specialty Pharmacy,http://owlrexall.com,401 N. Vincent Ave,Covina,California,CA,91722,626-962-1061,"Pain management, IVIG, Hemophilia, Bleeding disorders, Growth Hormone",Mike Gindi,,JCAHO,Private,Independent,,,,,,
Pacific Cancer Center,pacificcancercare.com,"5 Harris Court, Building T, Suite 201",Monterey,California,CA,93940,831-375-4105,Oncology,Roger Shiffman,,,Private,Independent,,,,,,
Pacific Shores Medical Group,http://www.pacshoresoncology.com,"222 W. Eulalia Street, #100-B",Glendale,California,CA,91204,562-590-0345,Oncology,Scott Thompson ,,,Private,Independent,,,,,,
Palisades Pharmacy,https://carepharmacies.com/blog/location/palisades-care-pharmacy/,"5185 MacArthur Blvd, NW",Washington,District of Columbia,DC,20016,202-362-0006,"HIV, Oncology, Pain Management, Transplantation",Jessica Karam,,,Member,CARE Pharmacies,"Counseling and education, Delivery",,,,,
PantherRx Specialty Pharmacy,http://www.pantherspecialty.com,600 5th Street,New Brighton,Pennsylvania,PA,15066,412-246-9858,"Bleeding disorders, Crohn's Disease, Women's Health, Growth Hormone, Hepatitis C, HIV, Multiple Sclerosis, Oncology, Rheumatoid Arthritis, Transplantation",Gordon Vanscoy,,"URAC, ACHC, JCAHO,CPPA",Private,Independent,"Patient assistance support, Benefits investigation, 24/7 support and delivery, ","Adherence/refill reminders, Counseling and education","Patient assistance support, Adherence, Product management, Robust data reporting",,"Crixivan, Tikosyn, Folan, Zelboraf, Cerezyme",
Paragon Hemophilia Solutions,http://paragonhealthcare.com/,17111 Preston Road 100,Dallas,Texas,TX,75248,866-972-5888,"Hemophilia, Immunology",Richard Allen,,URAC,Private,Independent,Counseling and education,,,,Hemlimbra,
Paramount Specialty Pharmacy,http://paramountsprx.com/hospital-programs/,1860 Walt Whitman Road #700,Melville,New York,NY,11747,855-821-6300,"HIV, Hepatitis C, Oncology, Inflammatory disease",Al DosSantos,,,Private,Independent,"Counseling and education, Insurance authorization, Delivery",Therapy-specific medication management,,"Albany, NY",,
Park Pharmacy,http://www.tnoncology.com/park-pharmacy,"300 20th Avenue North, Suite 301",Nashville,Tennessee,TN,37203,615-329-0570,"Oncology, Hematology",Stacey McCullough,,"URAC, ACHC, JCAHO",Subsidiary,Tennessee Oncology,"Prior Authorization, Financial assistance, Delivery, 24x7 support",,,,,
